faultId,component,customerDescription
SPAMD-8003-JE,DIMM,A processor has generated Poison data in response to the detection of a memory DIMM DRAM ECC error.
SPAMD-8003-KX,DIMM,A fatal uncorrectable ECC error on a Memory DIMM has been detected.
SPAMD-8003-L2,DIMM,A recoverable uncorrectable ECC error on a Memory DIMM has been detected.
SPAMD-8003-MR,DIMM,Multiple correctable ECC errors on a memory channel have been detected.
SPAMD-8003-N4,DIMM,A processor has generated Poison data in response to the detection of an error on a memory channel.
SPAMD-8003-PQ,DIMM,A recoverable uncorrectable ECC error on a Memory Channel has been detected.
SPAMD-8003-QC,CPU,A processor has detected a fatal hardware assertion.
SPAMD-8003-R3,CPU,A processor has detected a fatal error on an inbound access
SPAMD-8003-SY,CPU,A processor thread has detected excessive corrected internal error
SPAMD-8003-TD,CPU,A processor has generated Poison data in response to the detection of an internal error.
SPAMD-8003-UH,CPU,A processor has detected a fatal internal error.
SPAMD-8003-VA,CPU,A processor thread has detected an uncorrectable internal error.
SPAMD-8003-WP,CPU,A processor thread has detected a recoverable uncorrectable internal error.
SPAMD-8003-X5,CPU,A processor has detected a recoverable uncorrected error from an invalid access.
SPAMD-8003-YS,MEMORY,A fatal Memory DIMM address/command parity error has been detected.
SPAMD-8004-0Q,MEMORY,An uncorrectable ECC error on a Memory DIMM has been detected.
SPAMD-8004-1C,CPU,A processor has detected an uncorrectable error on an inbound access.
SPAMD-8004-2R,CPU,A processor has detected a fatal error in an internal Global Memory Interconnect link FIFO.
SPAMD-8004-34,CPU,A processor has detected an uncorrectable error in an internal Global Memory Interconnect link FIFO.
SPAMD-8004-4X,CPU,A processor has detected a recoverable uncorrected error in an internal Global Memory Interconnect link FIFO.
SPAMD-8004-52,CPU,A processor has generated Poison data in response to the detection of an error in an internal Global Memory Interconnect link FIFO.
SPAMD-8004-6J,CPU,A processor has detected a fatal timeout in an internal Global Memory Interconnect state machine.
SPAMD-8004-7E,CPU,A processor has detected an uncorrectable timeout in an internal Global Memory Interconnect state machine.
SPAMD-8004-85,CPU,A processor has detected a recoverable uncorrected timeout in an internal Global Memory Interconnect state machine.
SPAMD-8004-9S,CPU,A processor has generated Poison data in response to the detection of a timeout in an internal Global Memory Interconnect state machine.
SPAMD-8004-AA,CPU,A processor has detected a fatal error within an internal Global Memory Interconnect link.
SPAMD-8004-CP,CPU,A processor has detected an uncorrectable error within an internal Global Memory Interconnect link.
SPAMD-8004-DD,CPU,A processor has detected a recoverable uncorrected error within an internal Global Memory Interconnect link.
SPAMD-8004-EH,CPU,A processor has generated Poison data in response to the detection of an error within an internal Global Memory Interconnect link.
SPAMD-8004-F3,MEMORY,A fatal ECC error on a Memory Channel has been detected.
SPAMD-8004-GY,MEMORY,A uncorrectable ECC error on a Memory Channel has been detected.
SPAMD-8004-H4,CPU,A processor has detected an uncorrectable error in the integrated PCIe host bridge.
SPAMD-8004-JR,CPU,A processor thread has detected an uncorrected error during a transmission.
SPAMD-8004-KC,CPU,A processor thread has detected a fatal error in the CPU interconnect.
SPAMD-8004-LQ,CPU,A processor thread has detected an uncorrected error in the CPU interconnect.
SPAMD-8004-ME,CPU,A processor has generated Poison data in response to the detection of an error in the CPU interconnect.
SPAMD-8004-NJ,CPU,A processor thread has detected excessive corrected errors in the CPU interconnect.
SPAMD-8004-P2,CPU,A processor has exceeded the allowable Bit Error Rate of correctable errors in an external Global Memory Interconnect link.
SPAMD-8004-QX,CPU,A processor has detected excessive correctable CRC errors in an external Global Memory Interconnect link.
SPAMD-8004-RP,CPU,A processor has detected excessive correctable errors in an external Global Memory Interconnect link.
SPAMD-8004-SA,CPU,A processor has detected a fatal error in an external Global Memory Interconnect link FIFO.
SPAMD-8004-TS,CPU,A processor has detected an uncorrectable error in an external Global Memory Interconnect link FIFO.
SPAMD-8004-U5,CPU,A processor has detected a recoverable uncorrected error in an external Global Memory Interconnect link FIFO.
SPAMD-8004-VY,CPU,A processor has generated Poison data in response to the detection of an error in an external Global Memory Interconnect link FIFO.
SPAMD-8004-W3,CPU,A processor has detected excessive correctable errors in an external Global Memory Interconnect link FIFO.
SPAMD-8004-XH,CPU,A processor has detected a fatal timeout in an external Global Memory Interconnect state machine.
SPAMD-8004-YD,CPU,A processor has detected an uncorrectable timeout in an external Global Memory Interconnect state machine.
SPAMD-8005-0H,CPU,A processor has detected a recoverable uncorrected timeout in an external Global Memory Interconnect state machine.
SPAMD-8005-1D,CPU,A processor has generated Poison data in response to the detection of a timeout in an external Global Memory Interconnect state machine.
SPAMD-8005-2Y,CPU,A processor has detected a timeout in an external Global Memory Interconnect state machine.
SPAMD-8005-33,CPU,A processor has detected a fatal error within an external Global Memory Interconnect link.
SPAMD-8005-4S,CPU,A processor has detected an uncorrectable error within an external Global Memory Interconnect link.
SPAMD-8005-55,CPU,A processor has detected a recoverable uncorrected error within an external Global Memory Interconnect link.
SPAMD-8005-6P,CPU,A processor has generated Poison data in response to the detection of an error within an external Global Memory Interconnect link.
SPAMD-8005-7A,CPU,A processor has detected an unspecified error within an external Global Memory Interconnect link.
SPARM-8000-1M,ILOM,Initialization of the BIOS was not successful.
SPARM-8000-27,CPU,The start of the boot process was unable to complete or is deadlocked.
SPARM-8000-3U,FW/SW,a problem has been encountered between the Arm Trusted Firmware (ATF) located within the BIOS and a processor.
SPARM-8000-41,CPU,A Processor failed to boot due to processor training or memory boot errors
SPARM-8000-5W,CPU,A processor has detected multiple cache coherent interconnect correctable errors.
SPARM-8000-6F,CPU,A processor has detected a cache coherent interconnect uncorrectable error.
SPARM-8000-7K,CPU,A processor has detected multiple cluster processor module correctable errors.
SPARM-8000-8T,CPU,A processor has detected a cluster processor module uncorrectable error.
SPARM-8000-96,FW/SW,A problem has been encountered with the firmware on an internal co-processor.
SPARM-8000-AN,CPU,A processor has detected an internal Generic Interrupt Controller uncorrectable error.
SPARM-8000-C9,CPU,A processor has detected multiple scalable mesh interconnect correctable errors.
SPARM-8000-DL,CPU,A processor has detected a scalable mesh interconnect uncorrectable error.
SPARM-8000-EG,CPU,A processor has detected multiple on-chip memory correctable errors.
SPARM-8000-FV,PCI,A processor has detected a fault is present in a downstream PCIe Device.
SPARM-8000-G0,PCI,A processor has detected multiple Host Bridge correctable errors with a downstream PCIe device.
SPARM-8000-HU,PCI,A processor has detected multiple system memory management unit correctable errors with in downstream PCIe device.
SPARM-8000-J7,CPU,The system control processor has detected an error within a co-processor and has determined that a fault is present in the processor.
SPARM-8000-KM,CPU,A processor has detected an error in the coherent hub memory interface 
SPARM-8000-L8,CPU,A processor has failed to train memory and has determined that a fault is present with a Memory Dimm(s).
SPARM-8000-MK,MEMORY,Multiple correctable ECC errors on a memory DIMM have been detected.
SPARM-8000-NF,MEMORY,A memory uncorrectable ECC error on a Memory DIMM has been detected.
SPARM-8000-PW,MEMORY,A dynamic memory controller recovery error been detected.
SPARM-8000-Q1,CPU,A memory controller link error has been detected and has determined that a fault is present in a Memory Dimm(s).
SPARM-8000-R9,MEMORY,A memory DIMM training error has been detected and has determined that a fault is present in a Memory Dimm.
SPARM-8000-SN,CPU,Excessive temperature has been detected on the processor.
SPARM-8000-T6,PCI,An Integrated Host Bridge correctable error in a downstream PCIe device has been detected.
SPARM-8000-UT,PCI,A PCIE data ink layer is inactive.
SPARM-8000-V0,PCI,A PCIe device that is present in the system was unable to be initialized.
SPARM-8000-WV,PCI,A PCIe host bridge fatal error in a downstream PCIE device has been detected.
SPARM-8000-XG,PCI,A downstream PCIE leaf device is faulty.
SPARM-8000-YL,PCI,A PCI link speed error has occurred on a PCI card.
SPARM-8001-0G,PCI,A PCI link width error has occurred on a PCI card.
SPARM-8001-1L,PCI,A non-fatal error in a PCIe device has been detected.
SPARM-8001-20,CPU,A processor timeout failure has occurred.
SPARM-8001-3V,MEMORY,A processor has failed to train a memory DIMM.
SPARM-8001-46,CPU,A processor has detected multiple Generic Interrupt Controller correctable errors.
SPARM-8001-5T,PCI,An uncorrectable error with the Interrupt Translation Service within the generic interrupt controller (GIC) has been detected
SPARM-8001-69,PCI,A processor on-chip integrated PCIe host bridge has detected an uncorrectable error with a downstream PCIe device.
SPARM-8001-7N,PCI,A processor on-chip system memory management unit (MMU) has detected an uncorrectable error with a downstream PCIe device.
SPARM-8001-8W,CPU,A processor has detected an on-chip (in CPU) memory uncorrectable error.
SPARM-8001-91,FW/SW,A communication error between the System Control Processor (SCP) firmware on the processor and ILOM has occurred.
SPARM-8001-AK,FW/SW,The SCP has lost communication with the processor. This is an unserviceable event indicating a power on is occuring.
SPARM-8001-CF,CPU,The System Control Processor (SCP) firmware on a processor has stopped functioning.
SPARM-8001-DM,MEMORY,A processor has detected excessive correctable errors on a memory controller link.
SPENV-8000-16,None,The management I/O (MIO) module for a server module is missing.
SPENV-8000-2N,POWER,An invalid power supply configuration has been detected.
SPENV-8000-39,ILOM,The deferred update of the system BIOS has failed.
SPENV-8000-4L,CPU,ILOM was able to access the serial peripheral (SPI) flash device but the write was blocked or the resulting image was corrupted.
SPENV-8000-5G,ILOM,System has detected invalid or corrupt firmware in the FPGA or ILOM power state.
SPENV-8000-6V,Fan,The ambient temperature of the system has exceeded established thresholds.
SPENV-8000-70,Fan,A fan module required to maintain redundancy is missing.
SPENV-8000-88,CPU,A lack of power to the disk backplane has been detected.
SPENV-8000-9M,ILOM,A device necessary to support a configuration has failed.
SPENV-8000-A7,Fan,A fan module is rotating too slow.
SPENV-8000-CU,POWER,An internal power supply failure has been detected.
SPENV-8000-D1,CPU,The Field Programmable Gate Array (FPGA) has detected a mulfunctioning component and has powered-off the system.
SPENV-8000-EW,ILOM,Number of boot retries has exceeded limit
SPENV-8000-FF,POWER,The Field-Programmable Gate Array (FPGA) has detected the system standby was powered off unexpectedly.
SPENV-8000-GK,ILOM,The BIOS has detected that the platform information structure (SPI flash) is invalid.
SPENV-8000-H9,POWER,A failure with a voltage regulator on the motherbord has been detected.
SPENV-8000-JN,ILOM,A serial peripheral interface error
SPENV-8000-K6,POWER,A loss of AC input power to a power supply has been detected.
SPENV-8000-LT,POWER,A power source has failed or is not available to the server.
SPENV-8000-M0,POWER, Power Inadequate
SPENV-8000-NV,CPU,Excessive temperature has been detected on a GPU.  Could be a Fan issue or possibly just high ambient temperatures in the DC.
SPENV-8000-PG,ILOM,The service processor is unable to provide platform services to the operating system.
SPENV-8000-QL,ILOM,The Field Programmable Gate Array (FPGA) has detected a power-on request that was denied by the service processor.
SPENV-8000-RU,Fan,Indicates insufficient cooling of server is due to multiple faulted or missing fan modules.  The fan module configuration supported by the server can provide adequate cooling when 1one fan module is faulted or missing but not when more than one fan module has failed or is missing.
SPENV-8000-S7,POWER,Indicates a minor drop in voltage on the 12-volt rail has been detected.
SPENV-8000-TM,POWER,The 12-Volt rail has dropped below the 11.5-volt threshold.
SPENV-8000-U8,PCI,IOU Unknown
SPENV-8000-VK,PCI,PCIe Data Cable Missing
SPENV-8000-WF,POWER,chassis power-off/power-on button is either obstructed or has malfunctioned 
SPENV-8000-XW,PCI,Power Cable Incorrectly Attached to IOU
SPENV-8000-Y1,PCI,FIM Missing or Improperly Attached
SPENV-8001-0W,STORAGE,NVME Drive Unsupported
SPENV-8001-11,STORAGE,SAS Drive Unsupported
SPENV-8001-2K,POWER,12-Volt Failure Predicted
SPENV-8001-3F,POWER,Power Supply Missing
SPENV-8001-4M,PCI,IOU External Cable Missing
SPENV-8001-58,CPU,GPU Undetected Non-serviceable
SPENV-8001-6U,CPU,GPU Undetected
SPENV-8001-77,PCI,IOU GXR ERROR
SPENV-8001-8G,POWER,The power supplies are not providing redundant availability.
SPENV-8001-9L,FW/SW,An override of the fan control cooling parameters has occurred because of the inability to access a temperature sensor.
SPENV-8001-A0,FW/SW,The firmware on the Serial Peripheral Interface (SPI) flash has been corrupted.
SPENV-8001-CV,POWER,The chassis wide service-required LED will be illuminated.
SPENV-8001-D6,Fan,The internal temperature within the system has exceeded established thresholds.
SPENV-8001-ET,FW/SW,The bootstrap code on the SPI flash is unrecognized.
SPENV-8001-F9,FW/SW,A SPI flash parameter is not set to factory default.
SPENV-8001-GN,ILOM,The FPGA upgrade was not performed due to ROT lock-down being asserted.
SPENV-8001-HF,ILOM,An upgrade to the Field Programmable Gate Array (FPGA) was unsuccessful.
SPENV-8001-JK,POWER,RTC Battery End of Life
SPENV-8001-K1,FW/SW,LB SPI Firmware Corrupt
SPENV-8001-LW,ILOM,LB SPI Firmware Failed
SPENV-8001-M7,CPU,Processor / Memory Throttling
SPENV-8001-NU,Fan,FAN Low Speed
SPENV-8001-P8,PCI,PCIe Cable Unsupported 
SPENV-8001-QM,POWER,PSU Overvoltage Input Exceeded
SPENV-8001-RV,POWER,PSU Fan Failure
SPENV-8001-S0,POWER,PSU Output Current Exceeded
SPENV-8001-TL,POWER,PSU Output Voltage Exceeded
SPENV-8001-UG,POWER,PSU Output UnderVoltage
SPENV-8001-VN,PCI,PCIe Device Unexpectedly Removed
SPENV-8001-W9,POWER,PSU Mix Models Identified
SPENV-8001-XT,POWER,PSU Mix Models Unidentified
SPENV-8001-Y6,STORAGE,SSD Cable Incorrect
SPENV-8002-0M,MEMORY,The Power Management Integrated Circuit (PMIC) on a DDR5 DIMM has detected an input overvoltage failure.
SPENV-8002-18,MEMORY,The Power Management Integrated Circuit (PMIC) on a DDR5 DIMM has experienced an output overvoltage failure.
SPENV-8002-2U,MEMORY,The Power Management Integrated Circuit (PMIC) on a DDR5 DIMM has experienced an overtemperature failure.
SPENV-8002-37,PCI,The Graphix Extension Retimer (GXR) PCIe card installed is not a supported hardware version.
SPENV-8002-4W,PCI,The Graphix Extension Retimer (GXR) PCIe cards populated in the system are not compatible.
SPENV-8002-51,PCI,There is an insufficent number of Graphix Extension Retimer (GXR) PCIe cards populated.
SPENV-8002-6K,Chassis ???,ILOM has detected that a board is missing.
SPENV-8002-7F,GPU,GPU is missing.
SPENV-8002-86,PCI,NIC is missing.
SPENV-8002-9T,NVMe,An NVME drive is missing.(associated PCIe events differentiate missing from failed)
SPENV-8002-A9,PCI,All retimer cards are missing. (We will get one of these for the whole tail node if all 8 retimer cards are missing) 
SPENV-8002-CN,POWER,All retimer cards have no power.
SPENV-8002-DG,CDFP,The order in which retimer cables are connected is wrong.
SPENV-8002-EL,PCI,Retimer card's cable is missing.
SPENV-8002-F0,PCI,Retimer card is missing.
SPENV-8002-GV,PCI,Retimer card has an internal error.
SPENV-8002-H7,MEMORY,DDR5 PMIC Output voltage out of range
SPENV-8002-JU,STORAGE,the firmware of the Storage Enclosure Processor (SEP) located on the disk backplane is outdated and requires an update
SPENV-8002-K8,STORAGE,an update of the Storage Enclosure Processor (SEP) firmware on the disk backplane has failed.
SPENV-8002-LM,MEMORY,A DIMM has reached an Unrecoverable Overtemperature. Validate there are no cooling issues present.
SPENV-8002-W0,POWER,The input voltage coming from the bus bar is over it's limit.
SPENV-8002-XL,POWER,The input voltage coming from the bus bar is under it's limit.
SPENV-8003-0L,Motherboard,A DC-DC converter module is not providing its share of current to the system.
SPENV-8003-1G,Motherboard,An over current event has occurred with a DC-DC converter module.
SPENV-8003-2V,Motherboard,An over voltage event has occurred with a DC-DC converter module
SPENV-8003-30,Motherboard,An under voltage event has occurred with a DC-DC converter module.
SPENV-8003-4T,ILOM,A MultiMediaCard (MMC) storage device has reached its end of life.
SPENV-8003-56,ILOM,MMC Not Configured for Erase.
SPENV-8003-81,GPU,A leak around a GPU has been detected.
SPENV-8003-9W,GPU,a leak sensor for a GPU is disconnected
SPENV-8003-AF,Manifold,An issues with the power and cooling delivery system to this system has been detected
SPENV-8003-CK,Manifold,An issues with the power and cooling delivery system to this system has been detected
SPENV-8003-D8,Board,An over current event has occurred with a voltage regulator.
SPENV-8003-EM,Board,An over voltage event has occurred with a voltage regulator.
SPENV-8003-F7,CPU,Cooling CPU Leak Detected
SPENV-8003-GU,CPU,Cooling CPU Leak Sensor Disconnected
SPENV-8003-H0,CPU,A cable connection to a leak sensor is either missing or damaged.
SPENV-8003-JV,CPU,A leak sensor for a CPU is shorted.
SPENV-8003-KG,GPU,A leak sensor for a GPU is shorted.
SPENV-8003-LL,Manifold,A leak sensor for the manifold or Quick Disconnect (QD) is shorted.
SPENV-8003-M9,PCIe Subsystem,A leak around the PCIe subsystem has been detected.
SPENV-8003-NN,PCIe Subsystem,A leak sensor for a PCIe subsystem is disconnected.
SPENV-8003-P6,PCIe Subsystem,A leak sensor for the PCIe subsystem is shorted.
SPGX-8000-13,GPU,Indicates that the OAM has not been detected or is missing during the initialization process.
SPGX-8000-2H,GPU,ILOM has determined that OAMs have not been properly populated.
SPGX-8000-3D,GPU,GX GPU Thermtrip
SPGX-8000-4P,GPU,indicates that firmware on the OAM has failed to boot.
SPGX-8000-5A,GPU,indicates that firmware on the OAM was not updated.
SPGX-8000-6S,GPU,indicates that firmware on the OAM could not be validated.
SPGX-8000-75,ILOM,The HMC (or its 3.3v coin battery) is non-functional
SPGX-8000-8E,GBB,GPU NVLink failure has occurred.
SPGX-8000-9J,GBB,GPU NVSwitch is hanging.
SPGX-8000-A2,GBB,GPU NVSwitch is unavailable.
SPGX-8000-CX,GPU,Indicates that the OAM health is at a critical level.
SPGX-8000-D4,GPU,Indicates that an OAM has experienced an uncorrected error.
SPGX-8000-ER,GPU,ILOM has detected a corrupted ROM on a GPU.
SPGX-8000-FC,GPU,An uncorrectable ECC error has caused an application to fail.
SPGX-8000-GQ,GPU,A uncorrectable ECC error in DRAM has occurred.
SPGX-8000-HD,GPU,An uncorrectable ECC error in SRAM has occurred.
SPGX-8000-JH,GPU,GPU Page Retirement Exceeded
SPGX-8000-K3,GPU,GPU Row Remapping Exceed Threshold
SPGX-8000-LY,GPU,Indicates that future GPU memory row mappings are not available.
SPGXTAIL-8000-1W,Fan,Fan Capacity is Deficient
SPGXTAIL-8000-2F,GBB,Indicates that the GPU Base Board has an unknown manufacturer or model number.
SPGXTAIL-8000-3K,PCI,GX Switch Thermtrip
SPGXTAIL-8000-48,POWER,Power Supplies is Deficient
SPGXTAIL-8000-5M,GBB,indicates that firmware on the GBB has failed to boot.
SPGXTAIL-8000-67,GBB,Indicates that firmware on the GBB was not updated.
SPGXTAIL-8000-7U,GBB,Indicates that firmware on the GBB could not be validated.
SPGXTAIL-8000-8L,GBB,Indicates that the GBB health is at a critical level..
SPGXTAIL-8000-9G,GBB,Indicates a failure on the GBB FPGA.
SPGXTAIL-8000-AV,GBB,Indicates that the GBB health is at a critical level..
SPGXTAIL-8000-C0,GBB,Indicates that the SPI bus on the GPU Base Board (GBB) has failed.
SPGXTAIL-8000-DT,GBB,PCIE CRC error was encountered on an nvswitch.
SPGXTAIL-8000-E6,GBB,Problem with the IOB has caused a PCIE reset failure.
SPGXTAIL-8000-FN,GBB, PCIE switch has failed.
SPGXTAIL-8000-G9,GBB,Indicates that a PCIe switch on the IOB has caused a PCIe reset.
SPGXTAIL-8000-HK,GBB,Indicates that a PCIe training error on a NVSwitch has occurred.
SPGXTAIL-8000-JF,GBB,PCIE uncorrectable error.
SPGXTAIL-8000-KW,CDFP,Problem in an upstream device has caused a PCIE reset failure.
SPGXTAIL-8000-L1,POWER,detected a failure on the PDB 12v supply.
SPGXTAIL-8000-MU,GBB,ILOM has detected a power good failure on the tail node.
SPGXTAIL-8000-N7,GPU,GPU Temperature Fail
SPGXTAIL-8000-PM,PCI,PCIe Link Layer Inactive
SPGXTAIL-8000-Q8,PCI,Indicates that a PCI link error has occurred on a sled of the G4-8c.
SPGXTAIL-8000-R0,PCI,Indicates that a PCI link error has occurred on a sled of the G4-8c.
SPGXTAIL-8000-SV,GBB,Auto firmware recovery on the GPU Baseboard (GBB) has failed.
SPGXTAIL-8000-TG,PSB,A PCIe reset error has occurred on a PCIe Switch Board (PSB)
SPINTEL-8000-12,ILOM,PMC Patch Failed
SPINTEL-8000-2J,CPU,A warm reset was unsuccessful in clearing IERR condition.
SPINTEL-8000-3E,CPU,A reset of the host has failed.
SPINTEL-8000-4Q,CPU,A power-cycle of the host by ILOM was unsuccessful in resetting the Platform Controller Hub (PCH).
SPINTEL-8000-5C,CPU,The Management Engine is in recovery mode and any warm resets of the host OS will become global resets.
SPINTEL-8000-6R,ILOM,The Platform Controller Hub (PCH) has momentarily failed to service a power-on request.
SPINTEL-8000-74,CPU,Multiple Platform Controller Hub (PCH) failures to service a power-on request have occurred.
SPINTEL-8000-8D,CPU,The Ultrapath Interconnect Initialization Code (UPIRC) has detected a global error.
SPINTEL-8000-9H,CPU,A burst of Ultrapath Interconnect (UPI) correctable link errors has occurred.  This is a non-serviceable event used for logging purposes to assist in other possible faults.
SPINTEL-8000-A3,MEMORY,The Memory Reference Code (MRC) has detected a DDR4 DIMM that does not support 1.2-Volt.
SPINTEL-8000-CY,MEMORY,The Memory Reference Code (MRC) has detected a 16GB memory DIMM that is not supported by the processor.
SPINTEL-8000-D5,MEMORY,The Memory Reference Code (MRC) has detected a DIMM that stacks multiple DRAMS on a DIMM (3DS) is unsupported.
SPINTEL-8000-ES,MEMORY,Unexpected shutdown has occurred and  data committed to 3DX DIMM may not have been  persisted
SPINTEL-8000-FA,MEMORY,A 3D Xpoint (3DX) DIMM is unsupported.
SPINTEL-8000-GP,MEMORY,The Memory Reference Code (MRC) has detected the firmware installed on a DIMM is out of date and is not supported.
SPINTEL-8000-HE,MEMORY,The Memory Reference Code (MRC) has detected a set of DIMMs that violiates DIMM population rules.
SPINTEL-8000-JJ,MEMORY,The Memory Reference Code (MRC) has detected invalid Serial Presence Detect (SPD) contents in a memory DIMM.
SPINTEL-8000-K2,MEMORY,The Memory Reference Code (MRC) has detected Memory DIMMs of different types.
SPINTEL-8000-LX,MEMORY,The Memory Reference Code (MRC) has detected a mixture of 3DX DIMMS and UDIMMs.
SPINTEL-8000-M4,MEMORY,The Memory Reference Code (MRC) has detected memory DIMMs on a memory channel with different Stock-Keeping-Unit (SKU) numbers.
SPINTEL-8000-NR,MEMORY,The Memory Reference Code (MRC) has detected an unsupported non-production memory DIMM.
SPINTEL-8000-PC,MEMORY,The Memory Reference Code (MRC) has detected an unsupported number of ranks on a memory DIMM.
SPINTEL-8000-QQ,MEMORY,The Memory Reference Code (MRC) has detected a registered DIMM (RDIMM) on a board that only supports unbuffered/unregistered memory DIMMs (UDIMM).
SPINTEL-8000-RY,MEMORY,The Memory Reference Code (MRC) has detected a memory DIMM with an unsupported Stock-Keeping-Unit (SKU) number.
SPINTEL-8000-S3,MEMORY,The Memory Reference Code (MRC) has detected an unbuffered/unregistered DIMM (UDIMM) has been installed and is unsupported.
SPINTEL-8000-TH,MEMORY,The Memory Reference Code (MRC) has detected the memory configuration on a memory channel uses an unsupported frequency.
SPINTEL-8000-UD,MEMORY,The Memory Reference Code (MRC) has detected the number of ranks on a memory channel is unsupported.
SPINTEL-8000-VP,MEMORY,The Memory Reference Code (MRC) has detected memory DIMMs on a memory channel in violation of the memory DIMM population rules.
SPINTEL-8000-WA,MEMORY,The memory configuration does not support two-level main memory (2LM) mode.
SPINTEL-8000-XS,MEMORY,The Voltage Drain Drain (VDD) value set in the BIOS is not appropriate for the Data Center Persistent Memory Module (DCPMM) a.k.a. 3D Xpoint (3DX) DIMM's.
SPINTEL-8000-Y5,MEMORY,The Memory Reference Code (MRC) has disabled Advanced Double Device Data Correction (ADDDC).
SPINTEL-8001-0S,MEMORY,An unsupported memory configuration using DDR4 DIMM(s) that are below 32-GB in size has been detected.
SPINTEL-8001-15,MEMORY,The DDR4 DIMM type is an unsupported configuration in the current memory mode.
SPINTEL-8001-2P,MEMORY,The Memory Reference Code (MRC) has detected a 3DX DIMM that is not recognized due to some mismatch with current configuration data in the DIMM firmware.
SPINTEL-8001-3A,MEMORY,The geometry of a DDR4 Memory DIMM is not supported.
SPINTEL-8001-4H,ILOM,The Memory Reference Code (MRC) has detected a global error.
SPINTEL-8001-5D,MEMORY,The processor has determined the capacity ratio between a DDR4 DIMM and DCPMM DIMM is outside the recommended range.
SPINTEL-8001-6Y,MEMORY,The Memory Reference Code (MRC) has determined that DIMM sockets are not using the same memory mode.
SPINTEL-8001-73,MEMORY,The Memory Reference Code (MRC) has disabled Single Device Data Correction (SDDC).
SPINTEL-8001-8C,MEMORY,The Memory Reference Code (MRC) has detected that the amount of installed memory cannot be supported by the installed processor.
SPINTEL-8001-9Q,MEMORY,The Data Center Persistent Memory Modules (DCPMM) installed across all DIMM sockets don't have the same capacity.
SPINTEL-8001-A4,MEMORY,The memory topology is not symmetrical between memory controllers.
SPINTEL-8001-CR,FW/SW,A communications error between ILOM and Intel Management Engine has occurred.
SPINTEL-8001-D2,FW/SW,The Platform Controller Hub (PCH) PMC patch did not load properly.
SPINTEL-8001-EX,FW/SW,The Platform Controller Hub (PCH) has been reset.
SPINTEL-8001-FE,FW/SW,The Platform Controller Hub (PCH) was unable to service a power-on request even after it was reset.
SPINTEL-8001-GJ,FW/SW,A problem within the BIOS code has been detected.
SPINTEL-8001-HA,FW/SW,The Ultrapath Interconnect Reference Code (UPIRC) has detected that the Ultrapath could not transition to full speed because an unsupported UPI link speed parameter within UPIRC has been encountered.
SPINTEL-8001-JP,FW/SW,The Ultrapath Interconnect (UPI) initialization code has detected a slow UPI link.
SPINTEL-8001-K5,FW/SW,The Ultrapath Interconnect Reference Code (UPIRC) has detected an internal error in the minimum path setup.
SPINTEL-8001-LS,FW/SW,The Ultrapath Interconnect Code (UPIRC) has detected an internal error.
SPINTEL-8001-M3,FW/SW,The Ultrapath Interconnect Code (UPIRC) has detected the Ultrapath Interconnect (UPI) topology data is invalid
SPINTEL-8001-NY,FW/SW,An unexpected error code from the Ultrapath Interconnect (UPI) Reference Code has been detected and is not clearly defined in the BIOS.
SPINTEL-8001-PD,FW/SW,An unknown error code from the Ultrapath Interconnect (UPI) Reference Code has been detected and has not been registered with the ILOM fault diagnosis daemon.
SPINTEL-8001-QH,FW/SW,An unsupported Ultrapath topology has been detected.
SPINTEL-8001-RR,FW/SW,The Memory Reference Code (MRC) has detected an array access out-of-bounds.
SPINTEL-8001-S4,FW/SW,The Memory Reference Code (MRC) has detected an invalid opcode for memory DIMM.
SPINTEL-8001-TQ,FW/SW,The Memory Reference Code (MRC) has detected an array out of bounds event during channel interleaving.
SPINTEL-8001-UC,FW/SW,The Memory Reference Code (MRC) has detected that the System Address Decoder (SAD) rules encountered a configuration error.
SPINTEL-8001-VJ,FW/SW,The increased refresh rate for a temperature sensor has been disabled.
SPINTEL-8001-WE,FW/SW,The custom refresh rate for temperature sensor has been disabled.
SPINTEL-8001-XX,FW/SW,The Memory Reference Code (MRC) does not recognize the interface used to access 3DX registers.
SPINTEL-8001-Y2,FW/SW,The Memory Reference Code (MRC) detected a surprise clock stop error on a 3D Xpoint (3DX) DIMM that was not resolved by a power cycle.
SPINTEL-8002-0H,FW/SW,the Memory Reference Code detected a non-serviceable surprise clock stop on a 3D Xpoint (3DX) DIMM.
SPINTEL-8002-1D,FW/SW,The Memory Reference Code (MRC) has determined that an internal opcode is either invalid or not defined.
SPINTEL-8002-2Y,FW/SW,The Memory Reference Code (MRC) has detected the number of Integrated memory controllers (IMC) has exceeded the limit.
SPINTEL-8002-33,FW/SW,An error in the Memory Reference Code (MRC) has been detected.
SPINTEL-8002-4S,FW/SW,The Memory Reference Code (MRC) has detected an invalid boot mode.
SPINTEL-8002-55,FW/SW,The Memory Reference Code (MRC) has detected an invalid access to a register.
SPINTEL-8002-6P,FW/SW,The Memory Reference Code (MRC) has detected an invalid subboot mode request.
SPINTEL-8002-7A,FW/SW,The Memory Reference Code (MRC) could not lookup ODT structure.
SPINTEL-8002-82,FW/SW,An unexpected error code from the Memory Reference Code has been detected and is not clearly defined in the BIOS.
SPINTEL-8002-9X,FW/SW,An unknown error code from the Memory Reference Code has been detected and has not been registered with the ILOM fault diagnosis daemon.
